Task,File,Accuracy,Classification Report
math,aave_True_cot_True.json,0.4,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285714, 'support': 300.0}, 'accuracy': 0.4, 'macro avg': {'precision': 0.5, 'recall': 0.2, 'f1-score': 0.2857142857142857, 'support': 300.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285714, 'support': 300.0}}"
math,aave_False_cot_False.json,0.4066666666666667,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.4066666666666667, 'f1-score': 0.5781990521327014, 'support': 300.0}, 'accuracy': 0.4066666666666667, 'macro avg': {'precision': 0.5, 'recall': 0.20333333333333334, 'f1-score': 0.2890995260663507, 'support': 300.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.4066666666666667, 'f1-score': 0.5781990521327014, 'support': 300.0}}"
math,aave_True_cot_False.json,0.33666666666666667,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.33666666666666667, 'f1-score': 0.5037406483790524, 'support': 300.0}, 'accuracy': 0.33666666666666667, 'macro avg': {'precision': 0.5, 'recall': 0.16833333333333333, 'f1-score': 0.2518703241895262, 'support': 300.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.33666666666666667, 'f1-score': 0.5037406483790524, 'support': 300.0}}"
math,aave_False_cot_True.json,0.5233333333333333,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.5233333333333333, 'f1-score': 0.687089715536105, 'support': 300.0}, 'accuracy': 0.5233333333333333, 'macro avg': {'precision': 0.5, 'recall': 0.26166666666666666, 'f1-score': 0.3435448577680525, 'support': 300.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.5233333333333333, 'f1-score': 0.687089715536105, 'support': 300.0}}"
comprehensive,aave_True_cot_True.json,0.10416666666666667,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.10416666666666667, 'f1-score': 0.18867924528301888, 'support': 240.0}, 'accuracy': 0.10416666666666667, 'macro avg': {'precision': 0.5, 'recall': 0.052083333333333336, 'f1-score': 0.09433962264150944, 'support': 240.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.10416666666666667, 'f1-score': 0.18867924528301888, 'support': 240.0}}"
comprehensive,aave_False_cot_False.json,0.12916666666666668,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.12916666666666668, 'f1-score': 0.22878228782287824, 'support': 240.0}, 'accuracy': 0.12916666666666668, 'macro avg': {'precision': 0.5, 'recall': 0.06458333333333334, 'f1-score': 0.11439114391143912, 'support': 240.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.12916666666666668, 'f1-score': 0.22878228782287824, 'support': 240.0}}"
comprehensive,aave_True_cot_False.json,0.1125,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.1125, 'f1-score': 0.20224719101123595, 'support': 240.0}, 'accuracy': 0.1125, 'macro avg': {'precision': 0.5, 'recall': 0.05625, 'f1-score': 0.10112359550561797, 'support': 240.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.1125, 'f1-score': 0.20224719101123595, 'support': 240.0}}"
comprehensive,aave_False_cot_True.json,0.04583333333333333,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.04583333333333333, 'f1-score': 0.08764940239043825, 'support': 240.0}, 'accuracy': 0.04583333333333333, 'macro avg': {'precision': 0.5, 'recall': 0.022916666666666665, 'f1-score': 0.043824701195219126, 'support': 240.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.04583333333333333, 'f1-score': 0.08764940239043825, 'support': 240.0}}"
logic,aave_True_cot_True.json,0.4171270718232044,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.4171270718232044, 'f1-score': 0.5886939571150097, 'support': 362.0}, 'accuracy': 0.4171270718232044, 'macro avg': {'precision': 0.5, 'recall': 0.2085635359116022, 'f1-score': 0.29434697855750486, 'support': 362.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.4171270718232044, 'f1-score': 0.5886939571150097, 'support': 362.0}}"
logic,aave_False_cot_False.json,0.5883977900552486,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.5883977900552486, 'f1-score': 0.7408695652173913, 'support': 362.0}, 'accuracy': 0.5883977900552486, 'macro avg': {'precision': 0.5, 'recall': 0.2941988950276243, 'f1-score': 0.37043478260869567, 'support': 362.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.5883977900552486, 'f1-score': 0.7408695652173913, 'support': 362.0}}"
logic,aave_True_cot_False.json,0.46685082872928174,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.46685082872928174, 'f1-score': 0.6365348399246704, 'support': 362.0}, 'accuracy': 0.46685082872928174, 'macro avg': {'precision': 0.5, 'recall': 0.23342541436464087, 'f1-score': 0.3182674199623352, 'support': 362.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.46685082872928174, 'f1-score': 0.6365348399246704, 'support': 362.0}}"
logic,aave_False_cot_True.json,0.505524861878453,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.505524861878453, 'f1-score': 0.671559633027523, 'support': 362.0}, 'accuracy': 0.505524861878453, 'macro avg': {'precision': 0.5, 'recall': 0.2527624309392265, 'f1-score': 0.3357798165137615, 'support': 362.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.505524861878453, 'f1-score': 0.671559633027523, 'support': 362.0}}"
